e ɪ̯	A
e ɪ e ɪ k æ p	A A C A P
ɑː k l ə	A A C C L A
e ɪ k ɒ m	A A C O M
e ɪ e ɪ k e ɪ j ʊ	A A C U
æ k ʊ	A A C U
e ɪ b ɛ k	A B E C
e ɪ k ɑ ɹ s	A C A R S
e ɪ s	A C E
e ɪ s iː ə m e ɪ	A C M A
e ɪ k ɑ ɡ	A C O G
e ɪ̯ ɛ f	A F
e ɪ f æ b	A F A B
æ f ɒ l	A F O L
æ f p æ k	A F P A C
æ f ɹ ɪ k ɑ m	A F R I C O M
ɑː ɡ ə	A G A
e ɪ d z	A I D S
e ɪ p æ k	A I P A C
e ɪ d͡ʒ æ t	A J A T T
æ l ɡ ɒ l	A L G O L
e ɪ m æ b	A M A B
æ m ə ʊ l ɛ d	A M O L E D
æ m p æ s	A M P A S
æ n z æ k	A N Z A C
æ p ɪ k s	A P I X
ɑ ɹ p ə	A R P A
ɑ ɹ v ɪ n	A R V N
e ɪ s æ k	A S A C
e ɪ s æ p	A S A P
e ɪ ɛ s e ɪ p iː	A S A P
æ z b ə ʊ	A S B O
æ s k i	A S C I I
æ z d ɪ k	A S D I C
æ s i æ n	A S E A N
æ s i ɑ n	A S E A N
æ z i ɑ n	A S E A N
ɑ s i ɑ n	A S E A N
ɑ z i ɑ n	A S E A N
e ɪ s ɪ k	A S I C
e ɪ ɛ s ɛ m ɑː t ɪ s t	A S M R t i s t
ə t æ k ə m s	A T A C M S
e ɪ t iː p iː e ɪ z	A T P a s e
ɔː k ə s	A U K U S
ə v iː f	A V I F
ɔː b ə n ɹ ɔː	A a b e n r a a
æ k	A a c h
ɑː k	A a c h
ɑː k ə n	A a c h e n
ɑː l b ɔː ɡ	A a l b o r g
ɑː l s t	A a l s t
ɑː ɹ	A a r
ɑː ɹ a ʊ	A a r a u
ɑː ɹ ə	A a r e
ɑː ɡ a ʊ	A a r g a u
ɑː h uː s	A a r h u s
æ ɹ ə n	A a r o n
ɛ ə ɹ ə n	A a r o n
æ ɹ ɒ n ɪ k	A a r o n i c
ɛː ɹ ɒ n ɪ k	A a r o n i c
æ ɹ ɑ n ɪ k ə l	A a r o n i c a l
ɛː ɹ ɑ n ɪ k ə l	A a r o n i c a l
e ə ɹ n̩ a ɪ t	A a r o n i t e
ɑː ɹ uː	A a r u
ɑ b ɑ	A b a
æ b æ k o ʊ	A b a c o
æ b ə k o ʊ	A b a c o
ə b ɑː z ə	A b a z a
æ b ɑ	A b b a
æ b ə	A b b a
ə b ɑː s	A b b a s
æ b ə t ə b ɑː d	A b b o t t a b a d
æ b i	A b b y
æ b s ə d iː	A b c d e
e ɪ b	A b e
ɑː b e ɪ	A b e
ɑː b ɛ d	A b e d
e ɪ b l̩	A b e l
æ b ɚ	A b e r
æ b ə d ɛː	A b e r d a r e
æ b ə ɹ d iː n	A b e r d e e n
æ b ə ɹ ɡ ɛ l i	A b e r g e l e
æ b ə ɹ ɪ s t w ɪ θ	A b e r y s t w y t h
æ b ɪ l iː n	A b i l e n e
æ b ɪ l iː n iː	A b i l e n e
ə b ɪ m ə l ɛ k	A b i m e l e c h
æ b i t ʊ ə ɹ	A b i t u r
æ b ɪ t ʊ ə ɹ	A b i t u r
ə b uː d	A b o o d
æ b ə ɹ ɪ d͡ʒ ɪ n ə l	A b o r i g i n a l
e ɪ b ɹ ə h æ m	A b r a h a m
e ɪ b ɹ ə h ə m	A b r a h a m
e ɪ b ɹ ə h æ m ɪ k	A b r a h a m i c
e ɪ b ɹ ə m z	A b r a m s
æ b s iː k ɒ n	A b s e c o n
æ b s ə l uː t	A b s o l u t e
ə b uː d͡ʒ ə	A b u j a
ɑ b u l f ɛ d ɑ	A b u l f e d a
ə b uː n ə	A b u n a
ə b j uː t ɪ l ɒ n	A b u t i l o n
e ɪ b iː	A b y
æ b ɪ d iː n	A b y d e n e
æ b ɪ s ɪ n i ə	A b y s s i n i a
æ b ɪ s ɪ n ɪ ə n	A b y s s i n i a n
ə k e ɪ s j ə	A c a c i a
ə k e ɪ ʃ ə	A c a c i a
æ k ə d ɛ m ə s ɪ z m̩	A c a d e m i c i s m
ə k e ɪ d i n̩	A c a d i a n
ə k æ n θ ə s	A c a n t h u s
ɔ k ɔ ɹ n e ɪ n iː ə n	A c a r n a n i a n
æ k ə ɹ ə s	A c a r u s
ə s ɛ l ə	A c e l a
ə k ɛ l d ə m ə	A c e l d a m a
